class,framework,seed,f1
Grape__Esca_(Black_Measles),one_stage,492,0.9904306220095692
Grape__Esca_(Black_Measles),two_stage,0,0.9903846153846154
Grape__Esca_(Black_Measles),two_stage,1,0.9951690821256038
Grape__Esca_(Black_Measles),two_stage,42,0.9879518072289156
Grape__Esca_(Black_Measles),two_stage,123,0.988009592326139
Grape__Esca_(Black_Measles),two_stage,492,0.9927710843373494
Grape__Esca_(Black_Measles),attention,0,0.9975786924939468
Grape__Esca_(Black_Measles),attention,1,1.0
Grape__Esca_(Black_Measles),attention,42,1.0
Grape__Esca_(Black_Measles),attention,123,0.9951456310679612
Grape__Esca_(Black_Measles),attention,492,0.9975786924939468
Grape__Esca_(Black_Measles),gating,0,0.9951690821256038
Grape__Esca_(Black_Measles),gating,1,1.0
Grape__Esca_(Black_Measles),gating,42,0.9927360774818402
Grape__Esca_(Black_Measles),gating,123,0.9951456310679612
Grape__Esca_(Black_Measles),gating,492,0.9975786924939468
Grape__Esca_(Black_Measles),ffs,0,0.9705882352941176
Grape__Esca_(Black_Measles),ffs,1,0.9166666666666666
Grape__Esca_(Black_Measles),ffs,42,0.978102189781022
Grape__Esca_(Black_Measles),ffs,123,0.9246753246753248
Grape__Esca_(Black_Measles),ffs,492,0.9627791563275434
Grape__Esca_(Black_Measles),ffc,0,0.949748743718593
Grape__Esca_(Black_Measles),ffc,1,0.934010152284264
Grape__Esca_(Black_Measles),ffc,42,0.9633251833740832
Grape__Esca_(Black_Measles),ffc,123,0.9319899244332494
Grape__Esca_(Black_Measles),ffc,492,0.9384615384615383
Grape__Esca_(Black_Measles),film,0,0.9390862944162436
Grape__Esca_(Black_Measles),film,1,0.949748743718593
Grape__Esca_(Black_Measles),film,42,0.949748743718593
Grape__Esca_(Black_Measles),film,123,0.9333333333333332
Grape__Esca_(Black_Measles),film,492,0.9494949494949496
Grape__Leaf_blight_(Isariopsis_Leaf_Spot),one_stage,0,0.9969040247678018
Grape__Leaf_blight_(Isariopsis_Leaf_Spot),one_stage,1,0.9969040247678018
Grape__Leaf_blight_(Isariopsis_Leaf_Spot),one_stage,42,0.981132075471698
Grape__Leaf_blight_(Isariopsis_Leaf_Spot),one_stage,123,0.9969040247678018
Grape__Leaf_blight_(Isariopsis_Leaf_Spot),one_stage,492,0.9969040247678018
